Column fy Mpa,Beam fy Mpa,Columns 1-3 I mm4*10^6,Columns 4-6 I mm4*10^6,Columns 1-3 A mm2,Columns 4-6 A mm2,Beam I mm4*10^6,Spans,Number of floors,Floor height m,Span width m,LLRS tributary width m,Floor mass kg,Facade Load kN/m,PGA g,Magnitude,Distance to fault km,Period s,Max drift mm,Final Dead Load,Final Live Load,soil_class__B,soil_class__C
355,355,637.2,0,17803,0,117.7,3,3,3,8,15,286331.76,4,0.3,6.6,10.27,1.511910334,36.96659762,15,12.5,1,0
275,235,25.1,0,4525,0,920.8,4,3,3,3,14,84969.5616,0,0.1,6.1,32.84,1.328222299,15.18129075,14,14,1,0
355,235,1119,0,21176,0,57.9,1,3,3.5,8,6,25500.6576,3,0.171,6,17.28,0.872443446,17.36889938,4.5,6,0,1
355,355,3034,2153,28583,26048,83.56,6,5,4,4,6,39645.936,2,0.2,6.77,23.99,0.761284053,20.17868839,3,15,0,1
275,275,136.7,0,9726,0,231.3,3,1,4,5,4,48741.66,2,0.15,6.33,18.96,0.368591664,11.84930736,12,10,0,1
275,275,1119,0,21176,0,27.72,6,3,4,6,6,63139.824,3,0.3,6.6,10.27,0.868097561,44.14677471,2,10,1,0
235,235,182.6,136.7,11253,9726,83.56,3,4,3.5,6,6,79707.9096,1,0.15,6.2,13.91,1.720855898,17.04347889,18,12,1,0
275,275,54.1,0,6434,0,13.17,4,2,3,4,2.5,23534.676,2,0.2,6.77,23.99,0.627758729,23.3762319,10,7.5,0,1
235,235,77.63,54.1,7684,6434,231.3,2,4,3.5,8,24,243553.3056,3,0.1,6.1,32.84,3.578009361,17.28108131,20,12,1,0
275,275,6.062,0,2534,0,83.56,4,2,3,6,18,241399.6992,0,0.123,6.19,12.9,3.278881686,29.37813536,15,6,0,1
235,235,3034,2153,28583,26048,1412,6,4,4,5,6,48823.236,3,0.123,6.19,12.9,0.317199242,0.750372571,3,12,0,1
355,355,330.9,0,14276,0,920.8,5,3,3,5,12,133478.73,1,0.1,6.1,32.84,0.547554582,16.93793338,6,10,1,0
355,235,869.7,637.2,19754,17803,337.4,2,5,4,3,12,36023.9616,4,0.1,6.1,32.84,0.927132195,8.423766689,6,2,1,0
235,235,25.1,16.73,4525,3877,337.4,1,6,3.5,8,6,30036.2832,1,0.15,6.2,13.91,3.347071558,10.00553887,7.5,4.5,1,0
275,275,104.5,77.63,8682,7684,83.56,4,4,4,3,6,38177.568,3,0.15,6.2,13.91,1.200936387,9.752659623,9,15,1,0
355,355,1119,869.7,21176,19754,337.4,5,4,3.5,5,6,125219.16,4,0.123,6.19,12.9,0.777781301,5.53603399,18,15,0,1
275,275,869.7,0,19754,0,8.693,4,3,3.5,3,15,85410.072,4,0.171,6,17.28,1.174025899,35.23360287,9,9,0,1
275,235,104.5,0,8682,0,920.8,5,2,3,3,7,45356.256,1,0.354,6.5,15.82,0.343158936,16.24512051,10.5,14,1,0
275,275,10.33,6.062,3142,2534,57.9,5,4,4,4,4,34669.8,3,0.283,7.28,19.74,2.527303701,33.72158579,8,20,0,1
275,275,229.3,182.6,12437,11253,231.3,1,5,4,7,24,84663.6516,3,0.283,7.28,19.74,3.076035049,36.36311731,12,16,0,1
355,275,637.2,0,17803,0,920.8,5,1,3.5,3,20,72908.55,1,0.1,6.1,32.84,0.149401644,0.830576995,4,20,1,0
275,275,36.92,0,5383,0,671.2,2,2,3.5,3,3,7611.0408,4,0.171,6,17.28,0.404750266,12.13571777,1.5,3,0,1
235,235,1119,0,21176,0,920.8,1,2,3.5,5,1.5,4660.029,2,0.1,6.69,35.66,0.125207393,0.646547467,4.5,6,1,0
275,275,869.7,637.2,19754,17803,231.3,5,5,3,5,20,278378.1,2,0.15,6.2,13.91,1.440580399,10.50510399,16,20,1,0
275,275,1119,0,21176,0,13.17,5,2,4,5,12,67606.11,3,0.2,6.77,23.99,0.574854491,21.25580562,3,9,0,1
235,235,450.7,330.9,15898,14276,38.92,2,6,4,3,6,22759.704,4,0.14,5.9,25.5,1.872306826,6.944135357,9,15,0,1
355,275,104.5,0,8682,0,57.9,1,2,3,6,14,25778.016,2,0.3,6.6,10.27,0.755889105,35.44431034,3.5,17.5,1,0
235,235,276.9,0,13347,0,83.56,2,3,3.5,8,10.5,72635.2704,0,0.354,6.5,15.82,1.434098743,37.64092483,14,3.5,1,0
235,235,1119,869.7,21176,19754,19.43,4,6,3,6,5,30346.272,0,0.283,7.28,19.74,1.436389738,20.00939808,5,5,0,1
355,355,229.3,0,12437,0,5.412,6,2,3,4,2,18158.8176,3,0.15,6.2,13.91,0.375849541,9.621761909,2,8,1,0
275,275,1119,0,21176,0,920.8,6,1,3.5,3,8,101382.6528,4,0.171,6,17.28,0.132191603,1.3039405,10,8,0,1
235,235,450.7,0,15898,0,19.43,4,1,3.5,6,1.5,21034.3716,3,0.1,6.1,32.84,0.161867003,0.99521008,4.5,3,1,0
235,235,54.1,0,6434,0,8.693,6,2,3.5,4,8,24277.0176,0,0.15,6.33,18.96,0.712884353,31.30482172,4,4,0,1
235,235,869.7,637.2,19754,17803,38.92,1,4,3.5,4,16,44948.376,3,0.14,5.9,25.5,1.727712904,11.39603641,16,20,0,1
235,235,229.3,182.6,12437,11253,162.7,2,6,4,8,6,81902.304,4,0.3,6.6,10.27,3.192962941,35.95905291,9,7.5,1,0
235,235,25.1,0,4525,0,38.92,1,1,3.5,4,10.5,36749.988,4,0.2,6.77,23.99,0.855634027,60.47694068,17.5,17.5,0,1
275,275,54.1,36.92,6434,5383,83.56,6,5,4,8,18,295044.0768,4,0.171,6,17.28,4.921095303,20.41151953,6,12,0,1
275,235,4221,3034,32053,28583,19.43,2,4,4,3,9,17424.6336,1,0.283,7.28,19.74,0.69190464,23.80781672,6,9,0,1
275,275,450.7,330.9,15898,14276,162.7,6,4,3,7,12,332095.896,2,0.354,6.5,15.82,1.539585833,33.20298116,20,20,1,0
355,235,104.5,0,8682,0,920.8,1,2,4,3,1.5,4698.7776,3,0.1,6.69,35.66,0.304552992,2.603963201,9,1.5,1,0
355,355,1119,0,21176,0,57.9,4,1,3.5,6,4,76485.6576,4,0.171,6,17.28,0.193437174,2.566490058,24,8,0,1
355,235,25.1,16.73,4525,3877,57.9,1,6,3,3,5,11726.55,4,0.1,6.69,35.66,2.01122883,12.2844902,7.5,12.5,1,0
235,235,136.7,0,9726,0,27.72,1,1,3.5,5,9,35628.318,4,0.123,6.19,12.9,0.51030954,3.644105048,7.5,4.5,0,1
275,235,1119,0,21176,0,83.56,1,1,3,7,9,25655.652,2,0.354,6.5,15.82,0.146727393,3.8476757,6,15,1,0
355,355,229.3,182.6,12437,11253,19.43,4,4,3,6,7.5,53044.794,3,0.171,6,17.28,1.553537131,20.56608676,3,1.5,0,1
355,275,637.2,450.7,17803,15898,1412,3,5,3,5,21,136925.316,3,0.123,6.19,12.9,0.892554218,5.779068262,10.5,10.5,0,1
235,235,1119,0,21176,0,920.8,1,2,4,3,6,12505.6008,4,0.15,6.33,18.96,0.214715792,2.563763429,9,6,0,1
275,275,1752,1412,24164,22646,671.2,5,4,3.5,3,9,85348.89,0,0.283,7.28,19.74,0.457360587,13.98607823,15,15,0,1
355,355,1119,0,21176,0,117.7,6,1,4,8,3,41921.9064,1,0.354,6.5,15.82,0.143623676,3.812504163,6,6,1,0
355,355,637.2,450.7,17803,15898,920.8,6,4,4,8,14,423901.5264,2,0.14,5.9,25.5,1.465761877,7.904625979,17.5,14,0,1
275,275,77.63,0,7684,0,920.8,4,2,4,5,3,9054.936,0,0.3,6.6,10.27,0.321745276,9.29928659,3,6,1,0
275,275,1412,1119,22646,21176,231.3,4,6,3,5,8,120650.904,3,0.283,7.28,19.74,1.204185787,20.64433376,12,6,0,1
355,235,1119,0,21176,0,162.7,2,2,4,7,4,18501.4368,0,0.15,6.2,13.91,0.326097742,5.250292146,12,4,1,0
275,275,1119,0,21176,0,920.8,4,1,3.5,4,12,84447.4752,4,0.3,6.6,10.27,0.14591118,2.7309084,12,8,1,0
355,235,1119,0,21176,0,671.2,4,3,3.5,4,12,60170.4576,4,0.1,6.69,35.66,0.362180131,3.322270608,6,3,1,0
275,275,637.2,0,17803,0,57.9,3,3,4,6,8,61557.2496,2,0.15,6.33,18.96,1.124398259,38.31387456,12,12,0,1
355,235,3.492,0,2124,0,337.4,1,3,3.5,3,3,4111.4304,0,0.123,6.19,12.9,1.541684034,15.61489758,6,3,0,1
275,275,16.73,10.33,3877,3142,38.92,2,4,3,6,16,33674.5728,0,0.14,5.9,25.5,2.311399155,8.116484132,4,12,0,1
275,275,10.33,0,3142,0,920.8,4,3,4,8,24,221168.8512,1,0.283,7.28,19.74,4.943940596,259.6156368,8,12,0,1
275,275,1119,0,21176,0,5.412,6,1,4,3,14,115120.0512,0,0.1,6.1,32.84,0.255939768,3.784289282,14,7,1,0
275,235,637.2,0,17803,0,83.56,5,1,3,6,24,474038.136,2,0.354,6.5,15.82,0.426328285,28.44736962,24,4,1,0
275,275,1119,0,21176,0,83.56,1,1,3,8,10.5,25659.7308,3,0.1,6.1,32.84,0.147723774,0.813137692,3.5,14,1,0
235,235,5538,4221,34685,32053,1119,1,4,3,6,1.5,4111.4304,0,0.1,6.69,35.66,0.163767135,0.941962129,6,3,1,0
275,275,330.9,0,14276,0,117.7,1,1,4,6,12,58514.4648,3,0.15,6.2,13.91,0.481011778,10.7309848,18,9,1,0
235,235,1119,0,21176,0,920.8,4,3,3,4,6,34066.1376,0,0.1,6.1,32.84,0.219965309,1.1127358,4.5,3,1,0
355,355,1119,0,21176,0,162.7,4,3,4,3,3,13655.8224,2,0.15,6.33,18.96,0.287855482,2.916231734,6,9,0,1
235,235,4221,3034,32053,28583,337.4,4,5,3.5,3,7.5,36342.108,0,0.14,5.9,25.5,0.447124688,3.412966768,7.5,10,0,1
355,235,182.6,0,11253,0,162.7,2,1,3.5,7,17.5,153893.124,1,0.1,6.1,32.84,0.617758901,43.60811604,17.5,14,1,0
235,235,450.7,330.9,15898,14276,8.693,5,5,3,3,10,71379,2,0.354,6.5,15.82,1.94537596,34.09131647,7.5,12.5,1,0
275,275,182.6,0,11253,0,27.72,2,1,4,5,15,87694.2,2,0.283,7.28,19.74,0.678637209,46.25111746,10,12.5,0,1
235,235,136.7,104.5,9726,8682,671.2,2,4,3.5,6,5,27939.78,1,0.171,6,17.28,0.846444075,11.07707866,7.5,12.5,0,1
355,235,25.1,0,4525,0,117.7,1,1,3.5,4,18,25419.0816,4,0.2,6.77,23.99,0.656973534,37.32912453,3,3,0,1
355,275,4221,3034,32053,28583,1412,4,4,4,4,3,39319.632,4,0.1,6.1,32.84,0.310043052,2.65384902,15,15,1,0
355,275,869.7,637.2,19754,17803,920.8,6,5,3,5,10,187420.86,1,0.123,6.19,12.9,0.756626553,4.156713445,12.5,10,0,1
275,235,6447,5538,40005,34685,83.56,1,6,3.5,7,24,83851.9704,2,0.171,6,17.28,2.279440195,17.10629572,16,4,0,1
275,235,77.63,0,7684,0,8.693,1,1,4,3,9,11563.398,0,0.171,6,17.28,0.465876669,23.85796213,9,15,0,1
275,275,229.3,182.6,12437,11253,83.56,3,6,3.5,5,4.5,37045.701,4,0.171,6,17.28,1.670761282,20.70901633,4.5,6,0,1
235,235,16.73,10.33,3877,3142,38.92,1,6,4,6,4,9356.7672,1,0.171,6,17.28,3.468241176,29.99276586,12,4,0,1
275,275,77.63,0,7684,0,920.8,4,2,3.5,4,2,16249.9392,4,0.3,6.6,10.27,0.33044724,9.644651582,4,4,1,0
235,235,36.92,25.1,5383,4525,57.9,4,6,4,6,24,159758.4384,0,0.3,6.6,10.27,5.95270913,44.36929763,8,12,1,0
355,235,54.1,0,6434,0,920.8,5,2,3.5,6,10.5,219949.29,4,0.14,5.9,25.5,1.226799859,9.348046585,17.5,17.5,0,1
275,275,16.73,0,3877,0,920.8,1,3,4,5,9,35383.59,1,0.2,6.77,23.99,2.500967692,56.52513036,9,7.5,0,1
235,235,4221,3034,32053,28583,57.9,6,6,4,4,18,253538.208,4,0.14,5.9,25.5,2.390360181,9.021375797,12,15,0,1
275,275,276.9,0,13347,0,920.8,3,2,3.5,8,20,114206.4,1,0.283,7.28,19.74,0.589389727,26.95113989,4,20,0,1
235,235,6.062,0,2534,0,162.7,3,1,3,7,10.5,134049.762,4,0.123,6.19,12.9,1.631643193,26.89188649,14,17.5,0,1
235,235,10.33,0,3142,0,83.56,2,1,3.5,6,24,134649.3456,3,0.15,6.33,18.96,1.870011098,152.0646419,12,16,0,1
355,355,1119,869.7,21176,19754,5.412,2,4,4,4,4,16184.6784,2,0.2,6.77,23.99,1.300300598,43.20350585,6,8,0,1
355,355,4221,3034,32053,28583,8.693,4,6,4,4,4,17685.6768,2,0.1,6.1,32.84,1.197729438,9.232460488,2,8,1,0
355,235,330.9,0,14276,0,920.8,4,2,4,5,6,40461.696,4,0.2,6.77,23.99,0.339635255,9.541639604,4,2,0,1
355,275,1752,1412,24164,22646,671.2,2,6,3,7,3,27564.5304,1,0.171,6,17.28,0.621448107,8.568199861,15,12,0,1
235,235,229.3,182.6,12437,11253,38.92,5,4,3,3,12.5,149386.05,4,0.171,6,17.28,1.54833303,20.04332989,15,10,0,1
235,235,1119,0,21176,0,38.92,5,3,4,3,5,44866.8,2,0.1,6.1,32.84,0.640430518,26.48934,10,12.5,1,0
235,235,104.5,0,8682,0,13.17,4,2,3,5,12.5,43847.1,0,0.354,6.5,15.82,0.766923229,38.70437649,2.5,7.5,1,0
235,235,1119,869.7,21176,19754,162.7,3,4,3,3,16,44777.0664,2,0.1,6.69,35.66,0.549663389,6.057810283,8,8,1,0
355,355,1119,0,21176,0,162.7,6,2,3.5,4,12.5,72296.73,1,0.1,6.69,35.66,0.294750998,2.785312147,2.5,12.5,1,0
275,235,104.5,77.63,8682,7684,117.7,3,4,3,8,2,33707.2032,2,0.14,5.9,25.5,1.038488591,4.444228714,10,6,0,1
235,235,16.73,10.33,3877,3142,337.4,5,5,3,6,20,173145.06,3,0.2,6.77,23.99,3.504232112,109.6224057,8,8,0,1
355,355,229.3,0,12437,0,482,5,2,3,5,4,69441.57,1,0.354,6.5,15.82,0.338084543,14.41658089,12,4,1,0
355,235,6.062,0,2534,0,671.2,2,1,3.5,6,10,46335.168,4,0.2,6.77,23.99,1.384301911,71.22468509,4,6,0,1
275,235,1119,0,21176,0,920.8,6,2,3.5,3,3,17620.416,0,0.123,6.19,12.9,0.110477234,0.428624985,3,7.5,0,1
275,275,276.9,229.3,13347,12437,83.56,6,6,4,4,17.5,244972.728,0,0.354,6.5,15.82,3.217959952,25.79576669,17.5,10.5,1,0
275,275,637.2,450.7,17803,15898,1119,4,6,3,8,7.5,65485.134,1,0.1,6.1,32.84,0.756388493,14.08745597,3,3,1,0
355,355,136.7,0,9726,0,920.8,5,1,4,8,6,89896.752,2,0.2,6.77,23.99,0.388642349,14.44331047,6,2,0,1
275,275,16.73,0,3877,0,38.92,4,2,4,5,12,65913.408,4,0.1,6.69,35.66,1.774067313,47.6181371,3,12,1,0
235,235,2153,1752,26048,24164,231.3,3,6,3,4,3.5,21124.1052,1,0.15,6.33,18.96,0.535649775,7.889319988,14,7,0,1
275,235,637.2,0,17803,0,231.3,5,1,3.5,8,16,454215.168,0,0.2,6.77,23.99,0.462077618,20.87687016,24,16,0,1
355,235,2153,1752,26048,24164,57.9,6,5,4,6,4,57886.3296,4,0.1,6.69,35.66,1.190530162,17.2717633,8,12,1,0
235,235,1119,0,21176,0,8.693,6,3,3.5,4,2,24782.7888,1,0.14,5.9,25.5,0.523135313,6.431515526,8,4,0,1
355,235,25.1,0,4525,0,920.8,1,1,4,7,16,27597.1608,2,0.354,6.5,15.82,0.802754845,57.06142263,4,12,1,0
235,235,136.7,104.5,9726,8682,83.56,4,6,3.5,4,24,96324.9408,3,0.14,5.9,25.5,2.408489208,5.870605941,4,16,0,1
275,275,5538,4221,34685,32053,38.92,6,5,3.5,3,3.5,38287.6956,0,0.354,6.5,15.82,0.624047178,11.24883087,17.5,14,1,0
275,275,450.7,330.9,15898,14276,1412,6,4,3.5,6,3,96422.832,4,0.3,6.6,10.27,0.606449761,15.18806948,9,7.5,1,0
355,235,1119,0,21176,0,920.8,1,1,3.5,5,7.5,28041.75,4,0.14,5.9,25.5,0.142044209,2.062616549,10,12.5,0,1
355,355,1119,0,21176,0,57.9,2,3,3,8,6,57119.5152,3,0.171,6,17.28,0.824937088,17.23941354,8,8,0,1
275,275,1119,0,21176,0,162.7,5,1,4,7,20,502610.13,3,0.171,6,17.28,0.488271975,25.57488191,24,12,0,1
355,275,2153,1752,26048,24164,482,2,4,3.5,8,2,16657.8192,1,0.2,6.77,23.99,0.415205374,5.802173493,8,4,0,1
275,275,330.9,276.9,14276,13347,337.4,3,6,3,6,12,54623.2896,0,0.283,7.28,19.74,1.104408369,18.7715377,8,8,0,1
355,235,182.6,136.7,11253,9726,337.4,1,6,3.5,5,12,28673.964,2,0.354,6.5,15.82,1.676218408,22.64735979,12,12,1,0
235,235,3034,2153,28583,26048,920.8,3,6,4,3,8,11653.1316,1,0.3,6.6,10.27,0.376919694,4.96385855,2,2,1,0
275,275,136.7,104.5,9726,8682,162.7,5,5,3.5,7,3,70991.514,1,0.171,6,17.28,1.496688162,18.72673022,18,3,0,1
355,355,36.92,0,5383,0,671.2,6,2,3,5,6,109393.416,0,0.15,6.33,18.96,0.775173367,27.32967405,10,8,0,1
355,355,10.33,0,3142,0,920.8,2,3,3.5,4,12,27540.0576,4,0.171,6,17.28,1.873451419,46.69474627,3,6,0,1
275,275,3.492,0,2124,0,162.7,2,1,3.5,8,12,109964.448,2,0.14,5.9,25.5,2.792165195,19.19790966,12,15,0,1
235,235,1752,1412,24164,22646,162.7,2,5,4,7,10.5,111436.8948,3,0.354,6.5,15.82,2.114738163,23.78822649,21,10.5,1,0
355,355,1119,0,21176,0,38.92,4,3,3.5,6,12,129412.1664,1,0.2,6.77,23.99,1.15320452,45.38722038,12,3,0,1
355,355,4221,3034,32053,28583,482,4,5,3.5,7,16,212048.6544,3,0.1,6.69,35.66,1.124955999,14.25790176,16,4,1,0
235,235,6447,5538,40005,34685,231.3,3,5,3,5,10.5,103061.079,2,0.283,7.28,19.74,0.781703727,20.97242212,17.5,14,0,1
235,235,450.7,0,15898,0,920.8,4,2,3.5,7,24,141110.1648,3,0.171,6,17.28,0.484701555,15.86092861,4,12,0,1
275,275,182.6,136.7,11253,9726,671.2,6,5,4,4,7.5,38667.024,4,0.1,6.1,32.84,0.826902843,12.22786547,2.5,2.5,1,0
275,235,1119,0,21176,0,8.693,5,2,3,6,1.5,17008.596,2,0.1,6.69,35.66,0.206861917,3.140357224,3,1.5,1,0
355,355,2153,1752,26048,24164,1752,5,6,4,5,1.5,38034.81,4,0.354,6.5,15.82,0.479840402,10.52172743,9,6,1,0
235,235,637.2,0,17803,0,671.2,4,3,3.5,5,3.5,20536.758,3,0.283,7.28,19.74,0.265101206,9.584266825,3.5,10.5,0,1
275,235,36.92,0,5383,0,57.9,6,1,3,5,9,208018.8,2,0.283,7.28,19.74,0.714632264,54.77548718,18,15,0,1
355,355,6.062,0,2534,0,162.7,4,2,3.5,3,6,35338.7232,4,0.15,6.2,13.91,1.531009418,25.24655621,9,6,1,0
235,235,25.1,0,4525,0,117.7,1,3,4,7,4,13725.162,3,0.15,6.2,13.91,1.534456866,17.16527184,8,20,1,0
275,275,54.1,0,6434,0,83.56,6,2,4,5,7.5,48639.69,2,0.2,6.77,23.99,0.768997363,40.00191457,2.5,7.5,0,1
235,235,1119,0,21176,0,920.8,2,1,4,7,18,101757.9024,0,0.283,7.28,19.74,0.258726836,17.98623728,9,12,0,1
355,235,54.1,36.92,6434,5383,231.3,2,5,3,8,16,150426.144,3,0.171,6,17.28,3.235501256,30.42481815,16,20,0,1
235,235,1119,0,21176,0,162.7,1,3,4,7,6,13178.6028,3,0.15,6.2,13.91,0.589023896,4.475803468,2,6,1,0
235,235,25.1,0,4525,0,920.8,5,2,3.5,3,12.5,92027.925,4,0.1,6.69,35.66,1.124532986,29.6370045,7.5,10,1,0
275,275,77.63,54.1,7684,6434,27.72,2,5,4,8,8,48815.0784,2,0.15,6.2,13.91,4.327665201,13.18604749,6,2,1,0
275,275,25.1,0,4525,0,920.8,5,3,4,8,12.5,235040.85,1,0.14,5.9,25.5,3.062994241,17.54586099,10,5,0,1
355,355,1119,0,21176,0,38.92,2,2,4,6,7,13272.4152,1,0.123,6.19,12.9,0.347280167,1.837368097,3.5,3.5,0,1
355,235,1119,0,21176,0,117.7,5,3,3.5,5,14,137251.62,4,0.283,7.28,19.74,0.78952338,34.09007539,10.5,3.5,0,1
355,235,104.5,0,8682,0,57.9,1,3,3,8,4,8027.0784,1,0.283,7.28,19.74,0.729816823,29.87180889,2,8,0,1
275,235,10.33,0,3142,0,920.8,5,2,4,4,7.5,47925.9,4,0.15,6.33,18.96,1.532274319,90.2168572,2.5,12.5,0,1
235,235,3.492,3.492,2124,2124,337.4,2,6,3.5,3,10,31243.608,2,0.354,6.5,15.82,6.259706319,47.80955798,8,2,1,0
355,275,136.7,104.5,9726,8682,671.2,2,5,3,6,21,117616.2768,4,0.1,6.1,32.84,1.742064483,13.70983802,10.5,10.5,1,0
275,275,1119,0,21176,0,117.7,2,3,3.5,7,7,68124.1176,3,0.171,6,17.28,0.909339881,18.09126205,17.5,14,0,1
275,275,136.7,104.5,9726,8682,38.92,4,5,3,6,12,65195.5392,3,0.15,6.33,18.96,1.94960308,53.37688552,4,12,0,1
235,235,1119,869.7,21176,19754,8.693,5,4,4,3,15,109209.87,4,0.14,5.9,25.5,2.012308229,9.766828502,9,12,0,1
275,275,3.492,0,2124,0,83.56,2,1,3,5,10,17538.84,0,0.354,6.5,15.82,0.900707248,52.00656957,2.5,7.5,1,0
355,235,1752,1412,24164,22646,38.92,4,5,3,4,10.5,117192.0816,4,0.123,6.19,12.9,1.468900608,10.83271492,17.5,14,0,1
275,275,1752,1412,24164,22646,117.7,2,5,3.5,4,10.5,30113.7804,3,0.2,6.77,23.99,0.912316184,27.26356547,7,7,0,1
275,275,54.1,36.92,6434,5383,337.4,1,5,3,6,12,55920.348,1,0.2,6.77,23.99,2.269423833,33.10847574,12,10,0,1
275,275,54.1,36.92,6434,5383,162.7,5,6,3,3,8,21270.942,1,0.2,6.77,23.99,0.962078158,22.83241945,2,4,0,1
275,275,450.7,0,15898,0,13.17,4,3,4,4,7,69021.4536,3,0.3,6.6,10.27,1.493538867,36.36653492,17.5,3.5,1,0
355,275,1119,0,21176,0,920.8,4,3,3.5,3,5,48619.296,4,0.1,6.69,35.66,0.30075801,2.008943229,15,5,1,0
235,235,276.9,229.3,13347,12437,1752,6,4,4,4,12,130978.4256,3,0.171,6,17.28,0.940983295,18.07953976,12,16,0,1
355,275,3034,2153,28583,26048,117.7,3,6,3.5,7,14,185870.916,0,0.354,6.5,15.82,2.431289452,20.98400666,17.5,17.5,1,0
235,235,6447,5538,40005,34685,162.7,1,6,4,6,12,33429.8448,2,0.2,6.77,23.99,1.467686841,21.07735085,12,12,0,1
355,275,77.63,54.1,7684,6434,27.72,5,5,3.5,5,2.5,50220.225,4,0.3,6.6,10.27,2.130408566,52.72462123,12.5,10,1,0
355,275,182.6,136.7,11253,9726,671.2,3,6,3.5,8,15,218786.832,0,0.15,6.33,18.96,2.770372374,41.96229428,15,12,0,1
235,235,36.92,25.1,5383,4525,671.2,5,6,3,6,7.5,74336.13,0,0.3,6.6,10.27,1.919594136,44.70482721,4.5,1.5,1,0
